構造別代號,房屋用途類別代號,總層數,房屋標準單價
S,1,22,7940
S,1,23,8140
S,1,24,8340
S,1,25,8540
S,1,26,8740
S,1,27,8940
S,1,28,9140
S,1,29,9340
S,1,30,9540
S,1,31,9740
S,1,32,9940
S,1,33,10140
S,1,34,10340
S,1,35,10540
S,1,36,10740
S,1,37,10940
S,1,38,11140
S,1,39,11340
S,1,40,11540
S,1,41,11740
S,2,1,3440
S,2,2,3540
S,2,3,3640
S,2,4,3740
S,2,5,3840
S,2,6,3990
S,2,7,4240
S,2,8,4490
S,2,9,4740
S,2,10,4990
S,2,11,5240
S,2,12,5490
S,2,13,5740
S,2,14,5990
S,2,15,6240
S,2,16,6440
S,2,17,6640
S,2,18,6840
S,2,19,7040
S,2,20,7240
S,2,21,7440
S,2,22,7640
S,2,23,7840
S,2,24,8040
S,2,25,8240
S,2,26,8440
S,2,27,8640
S,2,28,8840
S,2,29,9040
S,2,30,9240
S,2,31,9440
S,2,32,9640
S,2,33,9840
S,2,34,10040
S,2,35,10240
S,2,36,10440
S,2,37,10640
S,2,38,10840
S,2,39,11040
S,2,40,11240
S,2,41,11440
S,3,1,2750
S,3,2,2850
S,3,3,2950
S,3,4,3050
S,3,5,3150
S,3,6,3300
S,3,7,3550
S,3,8,3800
S,3,9,4050
S,3,10,4300
S,3,11,4550
S,3,12,4800
S,3,13,5050
S,3,14,5300
S,3,15,5550
S,3,16,5750
S,3,17,5950
S,3,18,6150
S,3,19,6350
S,3,20,6550
S,3,21,6750
S,3,22,6950
S,3,23,7150
S,3,24,7350
S,3,25,7550
S,3,26,7750
S,3,27,7950
S,3,28,8150
S,3,29,8350
S,3,30,8550
S,3,31,8750
S,3,32,8950
S,3,33,9150
S,3,34,9350
S,3,35,9550
S,3,36,9750
S,3,37,9950
S,3,38,10150
S,3,39,10350
S,3,40,10550
S,3,41,10750
S,4,1,2090
S,4,2,2190
S,4,3,2290
S,4,4,2390
S,4,5,2490
S,4,6,2640
S,4,7,2890
S,4,8,3140
S,4,9,3390
S,4,10,3640
S,4,11,3890
S,4,12,4140
S,4,13,4390
S,4,14,4640
S,4,15,4890
S,4,16,5090
S,4,17,5290
S,4,18,5490
S,4,19,5690
S,4,20,5890
S,4,21,6090
S,4,22,6290
S,4,23,6490
S,4,24,6690
S,4,25,6890
S,4,26,7090
S,4,27,7290
S,4,28,7490
S,4,29,7690
S,4,30,7890
S,4,31,8090
S,4,32,8290
S,4,33,8490
S,4,34,8690
S,4,35,8890
S,4,36,9090
S,4,37,9290
S,4,38,9490
S,4,39,9690
S,4,40,9890
S,4,41,10090
T,1,1,2960
T,1,2,3060
T,1,3,3160
T,1,4,3260
T,1,5,3360
T,1,6,3510
T,1,7,3760
T,1,8,4010
T,1,9,4260
T,1,10,4510
T,1,11,4760
T,1,12,5010
T,1,13,5260
T,1,14,5510
T,1,15,5760
T,1,16,5960
T,1,17,6160
T,1,18,6360
T,1,19,6560
T,1,20,6760
T,1,21,6960
T,1,22,7160
T,1,23,7360
T,1,24,7560
T,1,25,7760
T,1,26,7960
T,1,27,8160
T,1,28,8360
T,1,29,8560
T,1,30,8760
T,1,31,8960
T,1,32,9160
T,1,33,9360
T,1,34,9560
T,1,35,9760
T,1,36,9960
T,2,1,2660
T,2,2,2760
T,2,3,2860
T,2,4,2960
T,2,5,3060
T,2,6,3210
T,2,7,3460
T,2,8,3710
T,2,9,3960
T,2,10,4210
T,2,11,4460
T,2,12,4710
T,2,13,4960
T,2,14,5210
T,2,15,5460
T,2,16,5660
T,2,17,5860
T,2,18,6060
T,2,19,6260
T,2,20,6460
T,2,21,6660
T,2,22,6860
T,2,23,7060
T,2,24,7260
T,2,25,7460
T,2,26,7660
T,2,27,7860
T,2,28,8060
T,2,29,8260
T,2,30,8460
T,2,31,8660
T,2,32,8860
T,2,33,9060
T,2,34,9260
T,2,35,9460
T,2,36,9660
T,3,1,2400
T,3,2,2500
T,3,3,2600
T,3,4,2700
T,3,5,2800
T,3,6,2950
T,3,7,3200
T,3,8,3450
T,3,9,3700
T,3,10,3950
T,3,11,4200
T,3,12,4450
T,3,13,4700
T,3,14,4950
T,3,15,5200
T,3,16,5400
T,3,17,5600
T,3,18,5800
T,3,19,6000
T,3,20,6200
T,3,21,6400
T,3,22,6600
T,3,23,6800
T,3,24,7000
T,3,25,7200
T,3,26,7400
T,3,27,7600
T,3,28,7800
T,3,29,8000
T,3,30,8200
T,3,31,8400
T,3,32,8600
T,3,33,8800
T,3,34,9000
T,3,35,9200
T,3,36,9400
T,4,1,1840
T,4,2,1940
T,4,3,2040
T,4,4,2140
T,4,5,2240
T,4,6,2390
T,4,7,2640
T,4,8,2890
T,4,9,3140
T,4,10,3390
T,4,11,3640
T,4,12,3890
T,4,13,4140
T,4,14,4390
T,4,15,4640
T,4,16,4840
T,4,17,5040
T,4,18,5240
T,4,19,5440
T,4,20,5640
T,4,21,5840
T,4,22,6040
T,4,23,6240
T,4,24,6440
T,4,25,6640
T,4,26,6840
T,4,27,7040
T,4,28,7240
T,4,29,7440
T,4,30,7640
T,4,31,7840
T,4,32,8040
T,4,33,8240
T,4,34,8440
T,4,35,8640
T,4,36,8840
U,1,1,2100
U,1,2,2200
U,1,3,2300
U,1,4,2400
U,1,5,2500
U,2,1,2100
U,2,2,2200
U,2,3,2300
U,2,4,2400
U,2,5,2500
U,3,1,2100
U,3,2,2200
U,3,3,2300
U,3,4,2400
U,3,5,2500
U,4,1,2100
U,4,2,2200
U,4,3,2300
U,4,4,2400
U,4,5,2500
U,5,1,2100
U,5,2,2200
U,5,3,2300
U,5,4,2400
U,5,5,2500
U,5,6,2600
U,5,7,2700
U,5,8,2800
U,5,9,2900
U,5,10,3000
