構造別代號,構造別名稱,耐用年數（年）,每年折舊率（％）
A,鋼骨混凝土造,60,1.5
B,鋼筋混凝土造,60,1.6
C,加強磚造,52,1.9
D,木石磚造(雜木以外),35,2.8
E,木石磚造(雜木),30,3.3
F,木石磚造(磚石造),46,2.1
G,木石磚造(?砧石),,
H,木石磚造(卵石混凝土造),50,2
I,充氣膜造,,
J,鋼鐵造,52,1.8
K,土竹造(土磚混合造),30,3.3
L,土竹造(竹造),11,9
M,冷氣機,,
N,升降機,,
O,地下油槽,,
P,鋼骨造,60,1.5
R,土竹造(純土造),18,5.5
S,鋼骨鋼筋混凝土造,60,1.5
T,預鑄混凝土造,60,1.6
U,鋼鐵造,52,1.8
