構造別代號,用途類別代號,用途細類別代號,用途細類別名稱
P,1,1,國際觀光旅館
P,1,2,夜總會
P,1,3,舞廳
P,1,4,咖啡廳
P,1,5,酒家
P,1,6,歌廳
P,1,7,套房
P,1,8,電視台
P,2,20,旅館
P,2,21,百貨公司
P,2,22,餐廳
P,2,23,醫院
P,2,24,大型商場
P,2,25,影劇院
P,2,26,遊藝場所
P,2,27,超級市場
P,2,28,圖書館
P,2,29,美術館
P,2,30,博物館
P,2,31,紀念堂
P,2,32,廣播電台
P,3,33,納骨塔
P,3,40,市場
P,3,41,辦公廳（室）
P,3,42,店舖
P,3,43,診所
P,3,44,住宅
P,3,45,校舍
P,3,46,體育館
P,3,47,禮堂
P,3,48,寺廟
P,3,49,教堂
P,3,50,農舍
P,3,51,開放空間
P,3,52,游泳池
P,4,34,油槽
P,4,35,焚化爐
P,4,36,養殖場
P,4,60,工廠
P,4,61,倉庫
P,4,62,停車場
P,4,63,防空避難室
P,4,64,農業用房屋(減半)
P,4,67,農業用房屋
A,1,1,國際觀光旅館
A,1,2,夜總會
A,1,3,舞廳
A,1,4,咖啡廳
A,1,5,酒家
A,1,6,歌廳
A,1,7,套房
A,1,8,電視台
A,2,20,旅館
A,2,21,百貨公司
A,2,22,餐廳
A,2,23,醫院
A,2,24,大型商場
A,2,25,影劇院
A,2,26,遊藝場所
A,2,27,超級市場
A,2,28,圖書館
A,2,29,美術館
A,2,30,博物館
A,2,31,紀念堂
A,2,32,廣播電台
A,3,33,納骨塔
A,3,40,市場
A,3,41,辦公廳（室）
A,3,42,店舖
A,3,43,診所
A,3,44,住宅
A,3,45,校舍
A,3,46,體育館
A,3,47,禮堂
A,3,48,寺廟
A,3,49,教堂
A,3,50,農舍
A,3,51,開放空間
A,3,52,游泳池
A,4,34,油槽
A,4,35,焚化爐
A,4,36,養殖場
A,4,60,工廠
A,4,61,倉庫
A,4,62,停車場
A,4,63,防空避難室
A,4,64,農業用房屋(減半)
A,4,67,農業用房屋
S,1,1,國際觀光旅館
S,1,2,夜總會
S,1,3,舞廳
S,1,4,咖啡廳
S,1,5,酒家
S,1,6,歌廳
S,1,7,套房
S,1,8,電視台
S,2,20,旅館
S,2,21,百貨公司
S,2,22,餐廳
S,2,23,醫院
S,2,24,大型商場
S,2,25,影劇院
S,2,26,遊藝場所
S,2,27,超級市場
S,2,28,圖書館
S,2,29,美術館
S,2,30,博物館
S,2,31,紀念堂
S,2,32,廣播電台
S,3,33,納骨塔
S,3,40,市場
S,3,41,辦公廳（室）
S,3,42,店舖
S,3,43,診所
S,3,44,住宅
S,3,45,校舍
S,3,46,體育館
S,3,47,禮堂
S,3,48,寺廟
S,3,49,教堂
S,3,50,農舍
S,3,51,開放空間
S,3,52,游泳池
S,4,34,油槽
S,4,35,焚化爐
S,4,36,養殖場
S,4,60,工廠
S,4,61,倉庫
S,4,62,停車場
S,4,63,防空避難室
S,4,64,農業用房屋(減半)
S,4,67,農業用房屋
B,1,1,國際觀光旅館
B,1,2,夜總會
B,1,3,舞廳
B,1,4,咖啡廳
B,1,5,酒家
B,1,6,歌廳
B,1,7,套房
B,1,8,電視台
B,2,20,旅館
B,2,21,百貨公司
B,2,22,餐廳
B,2,23,醫院
B,2,24,大型商場
B,2,25,影劇院
B,2,26,遊藝場所
B,2,27,超級市場
B,2,28,圖書館
B,2,29,美術館
B,2,30,博物館
B,2,31,紀念堂
B,2,32,廣播電台
