行政區,街路名稱,起迄地點,地段率%,,,
東區、南區、北區、安平區、中西區,康樂街,大仁街~民生路　　　　　　　　　　　（路含巷）,160,,,
東區、南區、北區、安平區、中西區,康樂街,民生路~成功路（路含巷）,130,,,
東區、南區、北區、安平區、中西區,康樂街,成功路~臨安路（路含巷）,120,,,
東區、南區、北區、安平區、中西區,國華街一段,路全部,130,,,
東區、南區、北區、安平區、中西區,國華街一段,巷全部,130,,,
東區、南區、北區、安平區、中西區,國華街二段,永華路~友愛街,150,,,
東區、南區、北區、安平區、中西區,國華街二段,巷(永華路~友愛街),140,,,
東區、南區、北區、安平區、中西區,國華街二段,友愛街~中正路,190,,,
東區、南區、北區、安平區、中西區,國華街二段,巷(友愛街~中正路),170,,,
東區、南區、北區、安平區、中西區,國華街三段,中正路~民生路,150,,,
東區、南區、北區、安平區、中西區,國華街三段,巷(中正路~民生路),140,,,
東區、南區、北區、安平區、中西區,國華街三段,民生路~成功路,140,,,
東區、南區、北區、安平區、中西區,國華街三段,巷(民生路~成功路),130,,,
東區、南區、北區、安平區、中西區,國華街四段,路全部,120,,,
東區、南區、北區、安平區、中西區,國華街四段,巷全部,120,,,
東區、南區、北區、安平區、中西區,國民路,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,國平路,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,國勝路,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,健康路一段,路全部,140,,,
東區、南區、北區、安平區、中西區,健康路一段,巷全部,130,,,
東區、南區、北區、安平區、中西區,健康路二段,路全部,140,,,
東區、南區、北區、安平區、中西區,健康路二段,巷全部,130,,,
東區、南區、北區、安平區、中西區,健康路三段,全部（路含巷）,130,,,
東區、南區、北區、安平區、中西區,健康一~四街,全部（路含巷）,120,,,
東區、南區、北區、安平區、中西區,莊敬路,巷全部,115,,,
東區、南區、北區、安平區、中西區,清水路,全部（路含巷）,110,,,
東區、南區、北區、安平區、中西區,開元路,1號~61號、2號~62號,120,,,
東區、南區、北區、安平區、中西區,開元路,61號、62號~北園街,140,,,
東區、南區、北區、安平區、中西區,開元路,北園街~末點(單號),125,,,
東區、南區、北區、安平區、中西區,開元路,北園街~末點(雙號),120,,,
東區、南區、北區、安平區、中西區,開元路,117巷（開元市場）,130,,,
東區、南區、北區、安平區、中西區,開元路,巷:起點~長榮路,110,,,
東區、南區、北區、安平區、中西區,開元路,巷:長榮路~終點,120,,,
東區、南區、北區、安平區、中西區,開南街,路全部,110,,,
